species,family,order,length,length.measurement
Acaronia_nassa,Cichlidae,Perciformes,15.4,SL
Acaronia_vultuosa,Cichlidae,Perciformes,12.2,SL
Acentrogobius_pflaumii,Gobiidae,Perciformes,12,TL
Acentrogobius_viridipunctatus,Gobiidae,Perciformes,9.2,TL
Acestrorhynchus_altus,Acestrorhynchidae,Characiformes,23.3,SL
Acestrorhynchus_britskii,Acestrorhynchidae,Characiformes,NA,NA
Acestrorhynchus_falcatus,Acestrorhynchidae,Characiformes,27.2,SL
Acestrorhynchus_falcirostris,Acestrorhynchidae,Characiformes,40,TL
Acestrorhynchus_grandoculis,Acestrorhynchidae,Characiformes,NA,NA
Acestrorhynchus_heterolepis,Acestrorhynchidae,Characiformes,32.1,SL
Acestrorhynchus_lacustris,Acestrorhynchidae,Characiformes,27,SL
Acestrorhynchus_microlepis,Acestrorhynchidae,Characiformes,26,SL
Acestrorhynchus_minimus,Acestrorhynchidae,Characiformes,NA,NA
Acestrorhynchus_nasutus,Acestrorhynchidae,Characiformes,NA,NA
Acestrorhynchus_pantaneiro,Acestrorhynchidae,Characiformes,NA,NA
Acheilognathus_barbatulus,Cyprinidae,Cypriniformes,8.4,SL
Acheilognathus_cyanostigma,Cyprinidae,Cypriniformes,6,TL
Acheilognathus_imberbis,Cyprinidae,Cypriniformes,NA,NA
Acheilognathus_longibarbatus,Cyprinidae,Cypriniformes,9.2,SL
Acheilognathus_longipinnis,Cyprinidae,Cypriniformes,8,TL
Acheilognathus_melanogaster,Cyprinidae,Cypriniformes,NA,NA
Acheilognathus_rhombeus,Cyprinidae,Cypriniformes,NA,NA
Acheilognathus_signifer,Cyprinidae,Cypriniformes,NA,NA
Acheilognathus_tabira_tabira,Cyprinidae,Cypriniformes,7.9,SL
Acheilognathus_tonkinensis,Cyprinidae,Cypriniformes,9.2,SL
Acheilognathus_typus,Cyprinidae,Cypriniformes,NA,NA
Acheilognathus_yamatsutae,Cyprinidae,Cypriniformes,16,TL
Achiroides_leucorhynchos,Soleidae,Pleuronectiformes,8,SL
Achirus_declivis,Achiridae,Pleuronectiformes,18,TL
Achirus_lineatus,Achiridae,Pleuronectiformes,23,TL
Achoerodus_viridis,Labridae,Perciformes,62,TL
Achondrostoma_arcasii,Cyprinidae,Cypriniformes,25,TL
Achondrostoma_occidentale,Cyprinidae,Cypriniformes,9.5,SL
Achondrostoma_oligolepis,Cyprinidae,Cypriniformes,25,TL
Acipenser_baerii_baerii,Acipenseridae,Acipenseriformes,200,TL
Acipenser_brevirostrum,Acipenseridae,Acipenseriformes,143,TL
Acipenser_dabryanus,Acipenseridae,Acipenseriformes,250,TL
Acipenser_fulvescens,Acipenseridae,Acipenseriformes,274,TL
Acipenser_gueldenstaedtii,Acipenseridae,Acipenseriformes,236,TL
Acipenser_medirostris,Acipenseridae,Acipenseriformes,250,TL
Acipenser_mikadoi,Acipenseridae,Acipenseriformes,150,TL
Acipenser_naccarii,Acipenseridae,Acipenseriformes,200,TL
Acipenser_nudiventris,Acipenseridae,Acipenseriformes,200,TL
Acipenser_oxyrinchus_oxyrinchus,Acipenseridae,Acipenseriformes,403,TL
Acipenser_persicus,Acipenseridae,Acipenseriformes,230,TL
Acipenser_ruthenus,Acipenseridae,Acipenseriformes,125,TL
Acipenser_schrenckii,Acipenseridae,Acipenseriformes,300,TL
Acipenser_sinensis,Acipenseridae,Acipenseriformes,130,TL
Acipenser_stellatus,Acipenseridae,Acipenseriformes,220,TL
Acipenser_sturio,Acipenseridae,Acipenseriformes,600,TL
Acipenser_transmontanus,Acipenseridae,Acipenseriformes,610,TL
Acnodon_normani,Characidae,Characiformes,13.5,SL
Acnodon_oligacanthus,Characidae,Characiformes,20,TL
Acrocheilus_alutaceus,Cyprinidae,Cypriniformes,30,TL
Acrochordonichthys_rugosus,Akysidae,Siluriformes,11,SL
Acropoma_hanedai,Acropomatidae,Perciformes,11,SL
Acropoma_japonicum,Acropomatidae,Perciformes,20,TL
Acrossocheilus_beijiangensis,Cyprinidae,Cypriniformes,13.1,SL
Acrossocheilus_hemispinus,Cyprinidae,Cypriniformes,20,TL
Acrossocheilus_monticola,Cyprinidae,Cypriniformes,NA,NA
Acrossocheilus_paradoxus,Cyprinidae,Cypriniformes,20,TL
Acrossocheilus_yunnanensis,Cyprinidae,Cypriniformes,20,OT
Adinia_xenica,Fundulidae,Cyprinodontiformes,6,TL
Adontosternarchus_sp,Apteronotidae,Gymnotiformes,NA,NA
Aeoliscus_strigatus,Centriscidae,Syngnathiformes,15,TL
Aequidens_biseriatus,Cichlidae,Perciformes,8,TL
Aequidens_chimantanus,Cichlidae,Perciformes,10.2,SL
Aequidens_coeruleopunctatus,Cichlidae,Perciformes,14.5,TL
Aequidens_diadema,Cichlidae,Perciformes,11.8,SL
Aequidens_latifrons,Cichlidae,Perciformes,17,TL
Aequidens_metae,Cichlidae,Perciformes,12.5,SL
Aequidens_michaeli,Cichlidae,Perciformes,NA,NA
Aequidens_patricki,Cichlidae,Perciformes,11.6,SL
Aequidens_potaroensis,Cichlidae,Perciformes,10,SL
Aequidens_pulcher,Cichlidae,Perciformes,16,TL
Aequidens_rivulatus,Cichlidae,Perciformes,20,TL
Aequidens_sapayensis,Cichlidae,Perciformes,10,TL
Aequidens_tetramerus,Cichlidae,Perciformes,16.2,SL
Aequidens_tubicen,Cichlidae,Perciformes,11.6,SL
Aesopia_cornuta,Soleidae,Pleuronectiformes,25,SL
Aetapcus_maculatus,Pataecidae,Scorpaeniformes,21,TL
Aethaloperca_rogaa,Serranidae,Perciformes,60,TL
Aethotaxis_mitopteryx_mitopteryx,Nototheniidae,Perciformes,42,TL
Agamyxis_albomaculatus,Doradidae,Siluriformes,15,SL
Agamyxis_pectinifrons,Doradidae,Siluriformes,15,SL
Ageneiosus_atronasus,Auchenipteridae,Siluriformes,12,SL
Ageneiosus_ucayalensis,Auchenipteridae,Siluriformes,29,SL
Agonopsis_chiloensis,Agonidae,Scorpaeniformes,12.5,SL
Agonopsis_vulsa,Agonidae,Scorpaeniformes,20,TL
Agonostomus_telfairii,Mugilidae,Mugiliformes,75,TL
Agonus_cataphractus,Agonidae,Scorpaeniformes,21,TL
Agosia_chrysogaster,Cyprinidae,Cypriniformes,10,TL
Ahlia_egmontis,Ophichthidae,Anguilliformes,38,TL
Ahliesaurus_berryi,Notosudidae,Aulopiformes,26.9,SL
Aidablennius_sphynx,Blenniidae,Perciformes,8,TL
Ailia_coila,Schilbeidae,Siluriformes,30,TL
Akarotaxis_nudiceps,Bathydraconidae,Perciformes,13,SL
Akko_sp,Gobiidae,Perciformes,NA,NA
Akrokolioplax_bicornis,Cyprinidae,Cypriniformes,NA,NA
Akysis_brachybarbatus,Akysidae,Siluriformes,5,NG
Akysis_prashadi,Akysidae,Siluriformes,6.2,SL
Albatrossia_pectoralis,Macrouridae,Gadiformes,210,TL
Albula_glossodonta,Albulidae,Albuliformes,90,SL
Albula_vulpes,Albulidae,Albuliformes,104,TL
Alburnoides_bipunctatus,Cyprinidae,Cypriniformes,13,SL
Alburnus_albidus,Cyprinidae,Cypriniformes,11,SL
Alburnus_alburnus,Cyprinidae,Cypriniformes,25,TL
Alburnus_arborella,Cyprinidae,Cypriniformes,10,SL
Alburnus_baliki,Cyprinidae,Cypriniformes,6.1,SL
Alburnus_chalcoides,Cyprinidae,Cypriniformes,40,TL
Alburnus_escherichii,Cyprinidae,Cypriniformes,NA,NA
Alburnus_filippii,Cyprinidae,Cypriniformes,16,TL
Alburnus_mossulensis,Cyprinidae,Cypriniformes,NA,NA
Alburnus_neretvae,Cyprinidae,Cypriniformes,NA,NA
Alburnus_orontis,Cyprinidae,Cypriniformes,NA,NA
Alburnus_scoranza,Cyprinidae,Cypriniformes,15.8,SL
Alburnus_tarichi,Cyprinidae,Cypriniformes,19.7,SL
Alcolapia_alcalica,Cichlidae,Perciformes,11.6,TL
Alcolapia_latilabris,Cichlidae,Perciformes,6.2,SL
Alcolapia_ndalalani,Cichlidae,Perciformes,5,SL
Aldrichetta_forsteri,Mugilidae,Mugiliformes,50,SL
Alectis_alexandrinus,Carangidae,Perciformes,100,TL
Alectis_ciliaris,Carangidae,Perciformes,150,TL
Alectis_indica,Carangidae,Perciformes,165,TL
Alectrias_alectrolophus,Stichaeidae,Perciformes,10,SL
Alepes_djedaba,Carangidae,Perciformes,40,TL
Alepes_kleinii,Carangidae,Perciformes,16,FL
Alepisaurus_brevirostris,Alepisauridae,Aulopiformes,96,TL
Alepisaurus_ferox,Alepisauridae,Aulopiformes,215,TL
Alepocephalus_tenebrosus,Alepocephalidae,Osmeriformes,61,TL
Alestes_baremoze,Alestiidae,Characiformes,43,TL
Alestes_macrophthalmus,Alestiidae,Characiformes,60,SL
Alestopetersius_caudalis,Alestiidae,Characiformes,6.2,TL
Alestopetersius_hilgendorfi,Alestiidae,Characiformes,10,TL
Alfaro_cultratus,Poeciliidae,Cyprinodontiformes,7.5,TL
Algansea_amecae,Cyprinidae,Cypriniformes,10.1,SL
Algansea_aphanea,Cyprinidae,Cypriniformes,NA,NA
Algansea_avia,Cyprinidae,Cypriniformes,NA,NA
Algansea_barbata,Cyprinidae,Cypriniformes,NA,NA
Algansea_lacustris,Cyprinidae,Cypriniformes,NA,NA
Algansea_monticola,Cyprinidae,Cypriniformes,NA,NA
Algansea_tincella,Cyprinidae,Cypriniformes,NA,NA
Alloclinus_holderi,Labrisomidae,Perciformes,10,TL
Allocyttus_folletti,Oreosomatidae,Zeiformes,42,TL
Allocyttus_niger,Oreosomatidae,Zeiformes,47,TL
Allocyttus_verrucosus,Oreosomatidae,Zeiformes,42.5,TL
Allodontichthys_hubbsi,Goodeidae,Cyprinodontiformes,6,TL
Allodontichthys_polylepis,Goodeidae,Cyprinodontiformes,4.5,SL
Allodontichthys_tamazulae,Goodeidae,Cyprinodontiformes,NA,NA
Allodontichthys_zonistius,Goodeidae,Cyprinodontiformes,4.5,SL
Allomycterus_pilatus,Diodontidae,Tetraodontiformes,50,TL
Alloophorus_robustus,Goodeidae,Cyprinodontiformes,12,TL
Allosmerus_elongatus,Osmeridae,Osmeriformes,22.9,TL
Allothunnus_fallai,Scombridae,Perciformes,105,FL
Allotoca_catarinae,Goodeidae,Cyprinodontiformes,5,TL
Allotoca_diazi,Goodeidae,Cyprinodontiformes,10,TL
Allotoca_dugesii,Goodeidae,Cyprinodontiformes,6.5,TL
Allotoca_goslinei,Goodeidae,Cyprinodontiformes,6,TL
Allotoca_meeki,Goodeidae,Cyprinodontiformes,7,TL
Allotoca_regalis,Goodeidae,Cyprinodontiformes,7.5,SL
Allotoca_zacapuensis,Goodeidae,Cyprinodontiformes,3,SL
Alosa_aestivalis,Clupeidae,Clupeiformes,40,SL
Alosa_alabamae,Clupeidae,Clupeiformes,51,SL
Alosa_alosa,Clupeidae,Clupeiformes,83,TL
Alosa_caspia_caspia,Clupeidae,Clupeiformes,32,TL
Alosa_chrysochloris,Clupeidae,Clupeiformes,50,SL
Alosa_fallax,Clupeidae,Clupeiformes,60,SL
Alosa_immaculata,Clupeidae,Clupeiformes,39,SL
Alosa_macedonica,Clupeidae,Clupeiformes,35.1,FL
Alosa_mediocris,Clupeidae,Clupeiformes,60,SL
Alosa_pseudoharengus,Clupeidae,Clupeiformes,40,SL
Alosa_sapidissima,Clupeidae,Clupeiformes,76,TL
Alphestes_afer,Serranidae,Perciformes,33,TL
Alphestes_immaculatus,Serranidae,Perciformes,30,TL
Alphestes_multiguttatus,Serranidae,Perciformes,30,TL
Altolamprologus_calvus,Cichlidae,Perciformes,13.5,TL
Altolamprologus_compressiceps,Cichlidae,Perciformes,12.3,TL
Altrichthys_azurelineatus,Pomacentridae,Perciformes,6.5,SL
Altrichthys_curatus,Pomacentridae,Perciformes,NA,NA
Aluterus_monoceros,Monacanthidae,Tetraodontiformes,76.2,TL
Aluterus_scriptus,Monacanthidae,Tetraodontiformes,110,TL
Amanses_scopas,Monacanthidae,Tetraodontiformes,20,TL
Amatitlania_nigrofasciata,Cichlidae,Perciformes,10,SL
Ambassis_agassizii,Ambassidae,Perciformes,7.5,SL
Ambassis_agrammus,Ambassidae,Perciformes,7.5,SL
Ambassis_marianus,Ambassidae,Perciformes,10,SL
Ambassis_productus,Ambassidae,Perciformes,15,TL
Ambloplites_ariommus,Centrarchidae,Perciformes,30.5,TL
Ambloplites_cavifrons,Centrarchidae,Perciformes,36,TL
Ambloplites_constellatus,Centrarchidae,Perciformes,27.9,TL
Ambloplites_rupestris,Centrarchidae,Perciformes,43,TL
Amblyceps_apangi,Amblycipitidae,Siluriformes,NA,NA
Amblyceps_foratum,Amblycipitidae,Siluriformes,8.5,SL
Amblyceps_mangois,Amblycipitidae,Siluriformes,12.5,SL
Amblyceps_mucronatum,Amblycipitidae,Siluriformes,7.3,SL
Amblyceps_serratum,Amblycipitidae,Siluriformes,4.5,SL
Amblycirrhitus_bimacula,Cirrhitidae,Perciformes,8.5,SL
Amblycirrhitus_pinos,Cirrhitidae,Perciformes,9.5,SL
Amblydoras_affinis,Doradidae,Siluriformes,10,SL
Amblydoras_monitor,Doradidae,Siluriformes,9,SL
Amblydoras_nauticus,Doradidae,Siluriformes,NA,NA
Amblyeleotris_guttata,Gobiidae,Perciformes,11,SL
Amblygaster_clupeoides,Clupeidae,Clupeiformes,21,SL
Amblyglyphidodon_aureus,Pomacentridae,Perciformes,13,TL
Amblyglyphidodon_curacao,Pomacentridae,Perciformes,11,TL
Amblyglyphidodon_leucogaster,Pomacentridae,Perciformes,13,TL
Amblygobius_nocturnus,Gobiidae,Perciformes,10,SL
Amblygobius_phalaena,Gobiidae,Perciformes,15,TL
Amblypharyngodon_chulabhornae,Cyprinidae,Cypriniformes,4,SL
Amblypharyngodon_melettinus,Cyprinidae,Cypriniformes,8,TL
Amblypharyngodon_mola,Cyprinidae,Cypriniformes,20,TL
Amblypomacentrus_clarus,Pomacentridae,Perciformes,NA,NA
Ameca_splendens,Goodeidae,Cyprinodontiformes,8,TL
Ameiurus_brunneus,Ictaluridae,Siluriformes,29,TL
Ameiurus_catus,Ictaluridae,Siluriformes,95,TL
Ameiurus_melas,Ictaluridae,Siluriformes,66,TL
Ameiurus_natalis,Ictaluridae,Siluriformes,47,TL
Ameiurus_nebulosus,Ictaluridae,Siluriformes,55,TL
Ameiurus_platycephalus,Ictaluridae,Siluriformes,29,TL
Ameiurus_serracanthus,Ictaluridae,Siluriformes,28,TL
Amia_calva,Amiidae,Amiiformes,109,TL
Amissidens_hainesi,Ariidae,Siluriformes,32,FL
Ammocrypta_beanii,Percidae,Perciformes,7.2,TL
Ammocrypta_bifascia,Percidae,Perciformes,7.7,TL
Ammocrypta_clara,Percidae,Perciformes,7.1,TL
Ammocrypta_meridiana,Percidae,Perciformes,7,TL
Ammocrypta_pellucida,Percidae,Perciformes,8.4,TL
Ammocrypta_vivax,Percidae,Perciformes,7.3,TL
Ammodytes_americanus,Ammodytidae,Perciformes,23.5,TL
Ammodytes_personatus,Ammodytidae,Perciformes,15,SL
Ammodytes_tobianus,Ammodytidae,Perciformes,20,SL
Ammotretis_rostratus,Pleuronectidae,Pleuronectiformes,30,TL
Amphiarius_rugispinis,Ariidae,Siluriformes,45,TL
Amphichaetodon_howensis,Chaetodontidae,Perciformes,18,SL
Amphichaetodon_melbae,Chaetodontidae,Perciformes,11,SL
Amphilius_atesuensis,Amphiliidae,Siluriformes,9.3,SL
Amphilius_jacksonii,Amphiliidae,Siluriformes,15,TL
Amphilius_platychir,Amphiliidae,Siluriformes,16.7,SL
Amphilius_rheophilus,Amphiliidae,Siluriformes,12.2,SL
Amphilophus_alfari,Cichlidae,Perciformes,15,SL
Amphilophus_altifrons,Cichlidae,Perciformes,13,SL
Amphilophus_bussingi,Cichlidae,Perciformes,15,SL
Amphilophus_calobrensis,Cichlidae,Perciformes,25,TL
Amphilophus_citrinellus,Cichlidae,Perciformes,24.4,SL
Amphilophus_diquis,Cichlidae,Perciformes,13.5,SL
Amphilophus_hogaboomorum,Cichlidae,Perciformes,15,SL
Amphilophus_labiatus,Cichlidae,Perciformes,24,SL
Amphilophus_longimanus,Cichlidae,Perciformes,13.5,SL
Amphilophus_lyonsi,Cichlidae,Perciformes,15,SL
Amphilophus_macracanthus,Cichlidae,Perciformes,25,SL
Amphilophus_nourissati,Cichlidae,Perciformes,22,TL
Amphilophus_rhytisma,Cichlidae,Perciformes,13.5,SL
Amphilophus_robertsoni,Cichlidae,Perciformes,19,SL
Amphilophus_rostratus,Cichlidae,Perciformes,18.5,SL
Amphilophus_xiloaensis,Cichlidae,Perciformes,16,SL
Amphiprion_akallopisos,Pomacentridae,Perciformes,11,SL
Amphiprion_akindynos,Pomacentridae,Perciformes,9,SL
Amphiprion_allardi,Pomacentridae,Perciformes,15,TL
Amphiprion_bicinctus,Pomacentridae,Perciformes,14,TL
Amphiprion_chagosensis,Pomacentridae,Perciformes,11,TL
Amphiprion_chrysogaster,Pomacentridae,Perciformes,15,TL
Amphiprion_chrysopterus,Pomacentridae,Perciformes,17,TL
Amphiprion_clarkii,Pomacentridae,Perciformes,15,SL
Amphiprion_frenatus,Pomacentridae,Perciformes,14,TL
Amphiprion_latezonatus,Pomacentridae,Perciformes,14,TL
Amphiprion_leucokranos,Pomacentridae,Perciformes,9,TL
Amphiprion_mccullochi,Pomacentridae,Perciformes,12,TL
Amphiprion_melanopus,Pomacentridae,Perciformes,12,TL
Amphiprion_nigripes,Pomacentridae,Perciformes,11,TL
Amphiprion_ocellaris,Pomacentridae,Perciformes,11,TL
Amphiprion_omanensis,Pomacentridae,Perciformes,14,TL
Amphiprion_percula,Pomacentridae,Perciformes,11,TL
Amphiprion_perideraion,Pomacentridae,Perciformes,10,TL
Amphiprion_polymnus,Pomacentridae,Perciformes,13,TL
Amphiprion_rubrocinctus,Pomacentridae,Perciformes,12,TL
Amphiprion_sandaracinos,Pomacentridae,Perciformes,14,TL
Amphiprion_sebae,Pomacentridae,Perciformes,16,TL
Amphistichus_argenteus,Embiotocidae,Perciformes,43,TL
Amphistichus_rhodoterus,Embiotocidae,Perciformes,41,TL
Anabas_testudineus,Anabantidae,Perciformes,25,TL
Anableps_anableps,Anablepidae,Cyprinodontiformes,30,TL
Anacanthus_barbatus,Monacanthidae,Tetraodontiformes,35,TL
Anadoras_grypus,Doradidae,Siluriformes,11.4,SL
Anaecypris_hispanica,Cyprinidae,Cypriniformes,7.5,FL
Anampses_caeruleopunctatus,Labridae,Perciformes,42,TL
Anampses_geographicus,Labridae,Perciformes,31,TL
Anampses_meleagrides,Labridae,Perciformes,22,TL
Anampses_neoguinaicus,Labridae,Perciformes,20,SL
Anampses_twistii,Labridae,Perciformes,18,TL
Anarhichas_lupus,Anarhichadidae,Perciformes,150,TL
Anarhichas_minor,Anarhichadidae,Perciformes,180,TL
Anarrhichthys_ocellatus,Anarhichadidae,Perciformes,240,TL
Anaspidoglanis_macrostomus,Bagridae,Siluriformes,24,TL
Ancherythroculter_daovantieni,Cyprinidae,Cypriniformes,NA,NA
Anchicyclocheilus_halfibindus,Cyprinidae,Cypriniformes,NA,NA
Anchoa_choerostoma,Engraulidae,Clupeiformes,7.5,SL
Anchoa_compressa,Engraulidae,Clupeiformes,13.3,SL
Anchoa_delicatissima,Engraulidae,Clupeiformes,8,SL
Anchoa_hepsetus,Engraulidae,Clupeiformes,15.3,TL
Anchoa_lyolepis,Engraulidae,Clupeiformes,12,TL
Anchoa_mitchilli,Engraulidae,Clupeiformes,10,SL
Anchoa_nasus,Engraulidae,Clupeiformes,14,TL
Anchovia_clupeoides,Engraulidae,Clupeiformes,30,TL
Anchoviella_lepidentostole,Engraulidae,Clupeiformes,11.6,SL
Ancistrus_cirrhosus,Loricariidae,Siluriformes,8.9,SL
Ancistrus_dolichopterus,Loricariidae,Siluriformes,11.8,SL
Ancistrus_pirareta,Loricariidae,Siluriformes,15.6,SL
Ancistrus_ranunculus,Loricariidae,Siluriformes,NA,NA
Ancylopsetta_ommata,Bothidae,Pleuronectiformes,25,TL
Andinoacara_sp,Cichlidae,Perciformes,NA,NA
Anduzedoras_oxyrhynchus,Doradidae,Siluriformes,32.3,SL
Anguilla_anguilla,Anguillidae,Anguilliformes,NA,NA
Anguilla_australis_australis,Anguillidae,Anguilliformes,130,TL
Anguilla_australis_schmidti,Anguillidae,Anguilliformes,NA,NA
Anguilla_bicolor_bicolor,Anguillidae,Anguilliformes,120,TL
Anguilla_bicolor_pacifica,Anguillidae,Anguilliformes,123,TL
Anguilla_celebesensis,Anguillidae,Anguilliformes,150,TL
Anguilla_dieffenbachii,Anguillidae,Anguilliformes,185,TL
Anguilla_interioris,Anguillidae,Anguilliformes,80,TL
Anguilla_japonica,Anguillidae,Anguilliformes,150,TL
Anguilla_luzonensis,Anguillidae,Anguilliformes,52.8,TL
Anguilla_malgumora,Anguillidae,Anguilliformes,80,TL
Anguilla_marmorata,Anguillidae,Anguilliformes,70,TL
Anguilla_megastoma,Anguillidae,Anguilliformes,100,TL
Anguilla_mossambica,Anguillidae,Anguilliformes,150,TL
Anguilla_nebulosa,Anguillidae,Anguilliformes,121,TL
Anguilla_obscura,Anguillidae,Anguilliformes,110,TL
Anguilla_reinhardtii,Anguillidae,Anguilliformes,165,TL
Anguilla_rostrata,Anguillidae,Anguilliformes,152,TL
Anisotremus_caesius,Haemulidae,Perciformes,30,TL
Anisotremus_davidsonii,Haemulidae,Perciformes,58,TL
Anisotremus_dovii,Haemulidae,Perciformes,45,TL
Anisotremus_interruptus,Haemulidae,Perciformes,51,TL
Anisotremus_moricandi,Haemulidae,Perciformes,15.1,SL
Anisotremus_pacifici,Haemulidae,Perciformes,35,TL
Anisotremus_scapularis,Haemulidae,Perciformes,40,TL
Anisotremus_surinamensis,Haemulidae,Perciformes,76,TL
Anisotremus_taeniatus,Haemulidae,Perciformes,31,TL
Anisotremus_virginicus,Haemulidae,Perciformes,40.6,TL
Anoplarchus_purpurescens,Stichaeidae,Perciformes,20,TL
